# The ten lines of the disk bus and what the controller puts on each of
# them, read off cadrdc/dcdbus.drw as data/CADRDC.netlist has it.
#
# Three 74LS244s at DCDBUS 0C07, 0C08 and 0C09 drive DBUS0-7, one per tag,
# and a 74S157 at 0C06 drives DBUS8 and DBUS9. The 157's select is CYLINDER
# TAG, so its B inputs are the cylinder's and its A inputs the control
# tag's; its enable is HEAD TAG, so while the head tag is up those two
# lines are undriven, which is the `-` in the third column. The head tag
# carries six head bits and two offset bits, the cylinder tag ten cylinder
# bits, and the control tag the gates and the two data strobes.
#
# CONTROL TAG is not a microcode field. DCDBUS 0C16 makes it the NOR of the
# other two, so the control tag is what the bus carries whenever neither
# other tag is asserted, which is what newdsk.31 means by "Neither CYLINDER
# TAG nor HEAD TAG implies CONTROL TAG". TAG ENABLE, which is a field, is
# what sends a tag down the cable; without it a tag only steers this
# multiplexer, and the microcode uses that to settle the bus before the tag
# goes out. The 75452 drivers invert, so DBUSn high leaves TRIDENT.BUSn/
# low, which is asserted.
#
# The last column is Century Data's own name for the same cable line. The
# two documents number the bus in opposite directions: MIT's DBUSn is
# Century Data's bus 9-n.
#
# That reversal is not a disagreement, and Century Data's own manual says
# why. The TRIDENT T25/T50/T80 OEM Reference Manual, Table 4-1 "Bus
# Definitions", reads bus 0 as CAR512 and bus 9 as CAR001, with the text
# "Bus lines 0-9 are defined as cylinder address. Bus 9 is the LSB." So
# Century Data numbers the conductors with the most significant bit first.
# MIT numbers by bit weight: DBUS0 is the cylinder bit of weight 1, which
# is read off DCDA 0B18/0B17 and DCDBUS 0C07/0C06 against disk.text's
# "DA<27:16> Cylinder number". Both count forwards. They are counting
# different things, and bus n is DBUS 9-n exactly.
#
# The names agree under that mapping, which is how the reversal was found
# before the manual was: the seven lines this controller uses land on their
# counterparts name for name --- recalibrate on rezero, pre gate on head
# select (which is what newdsk.31 calls it too, "Enable disk head-select"),
# fault clear on device check reset, and read, write and the two data
# strobes on themselves --- and the three MIT ties to ground land on the
# three this controller has no use for: it writes no address marks, never
# resets the head address and never advances the head. Seven for seven said
# it was a reversal; the manual says which way each document counts.
#
# Al Kossow's tridentCables.pdf carried these names first and is a hand
# transcription of 1999, not a Century Data document. Where the two differ,
# prefer the manual: bitsavers has seventeen of them under
# pdf/centuryData/Trident/, including the performance specification MIT
# calls "the Trident manual" throughout its own documentation.
#
# tests/cadrdc_netlist.rs regenerates the first four columns from the
# netlist and compares. The header above is written by hand and kept.
#
# line | cylinder tag | head tag | control tag | Century Data
DBUS0 | CYL0 | HEAD0             | GND               | bus 9  head advance
DBUS1 | CYL1 | HEAD1             | RECALIBRATE       | bus 8  rezero
DBUS2 | CYL2 | HEAD2             | PRE GATE          | bus 7  head select
DBUS3 | CYL3 | HEAD3             | FAULT CLEAR       | bus 6  device chk reset
DBUS4 | CYL4 | HEAD4             | GND               | bus 5  reset head adr
DBUS5 | CYL5 | HEAD5             | GND               | bus 4  address mark
DBUS6 | CYL6 | SERVO OFFSET PLUS | READ GATE         | bus 3  read
DBUS7 | CYL7 | SERVO OFFSET      | WRITE GATE        | bus 2  write
DBUS8 | CYL8 | -                 | DATA STROBE EARLY | bus 1  strobe early
DBUS9 | CYL9 | -                 | DATA STROBE LATE  | bus 0  strobe late
